reaction name	ECN	has match in metaCyc	contains atom mapping	left mets	right mets	missingMets
Retinoyl CoA formation		False	False	UDMBCSSLTHHNCD-KQYNXXCUSA-N+XPPKVPWEQAFLFU-UHFFFAOYSA-N+GREHPZMOJNYZIO-QPXXXDCKSA-N	ZKHQWZAMYRWXGA-KQYNXXCUSA-N+RGJOEKWQDUBAIZ-IBOSZNHHSA-N+SHGAZHPCJJPHSC-UHFFFAOYSA-N	
Ribitol:NAD+ 2-oxidoreductase Pentose and glucuronate interconversions EC:1.1.1.56		False	False	BAWFJGJZGIEFAR-NNYOXOHSSA-M+HEBKCHPVOIAQTA-ZXFHETKHSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+HMFHBZSHGGEWLO-SOOFDHNKSA-N	
S-(hydroxymethyl)glutathione dehydrogenase Methane metabolism EC:1.1.1.284	1.1.1.284	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+FHXAGOICBFGEBF-BQBZGAKWSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+PIUSLWSYOYFRFR-BQBZGAKWSA-N	
S-(hydroxymethyl)glutathione synthase Methane metabolism EC:4.4.1.22	4.4.1.22	True	True	PIUSLWSYOYFRFR-BQBZGAKWSA-N	WSFSSNUMVMOOMR-UHFFFAOYSA-N+RWSXRVCMGQZWBV-WDSKDSINSA-N	
S-Adenosyl-L-homocysteine:N-acetylserotonin O-methyltransferase	2.1.1.4	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+ZJUKTBDSGOFHSH-WFMPWKQPSA-N+DRLFMBDRBRZALE-UHFFFAOYSA-N	MEFKEPWMEQBLKI-AIRLBKTGSA-O+MVAWJSIDNICKHF-UHFFFAOYSA-N	
S-Adenosyl-L-methionine:N-acetylserotonin O-methyltransferase	2.1.1.4	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+ZJUKTBDSGOFHSH-WFMPWKQPSA-N+COCNDHOPIHDTHK-UHFFFAOYSA-N	MEFKEPWMEQBLKI-AIRLBKTGSA-O+DUUGKQCEGZLZNO-UHFFFAOYSA-N	
S-Adenosyl-L-methionine:amine N-methyltransferase (srtn)	2.1.1.49	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+ZJUKTBDSGOFHSH-WFMPWKQPSA-N+ASUSBMNYRHGZIG-UHFFFAOYSA-N	MEFKEPWMEQBLKI-AIRLBKTGSA-O+QZAYGJVTTNCVMB-UHFFFAOYSA-N	
S-Adenosyl-L-methionine:catechol O-methyltransferase	2.1.1.6	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+ZJUKTBDSGOFHSH-WFMPWKQPSA-N+JWJCTZKFYGDABJ-UHFFFAOYSA-N	MEFKEPWMEQBLKI-AIRLBKTGSA-O+UCTWMZQNUQWSLP-UHFFFAOYSA-N	
S-Adenosyl-L-methionine:ethanolamine-phosphate N-methyltransferase Glycerophospholipid metabolism EC:2.1.1.103	2.1.1.103	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+ZJUKTBDSGOFHSH-WFMPWKQPSA-N+HZDCAHRLLXEQFY-UHFFFAOYSA-N	MEFKEPWMEQBLKI-AIRLBKTGSA-O+SUHOOTKUPISOBE-UHFFFAOYSA-N	
S-Adenosyl-L-methionine:histamine N-tele-methyltransferase	2.1.1.8	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+ZJUKTBDSGOFHSH-WFMPWKQPSA-N+FHQDWPCFSJMNCT-UHFFFAOYSA-N	MEFKEPWMEQBLKI-AIRLBKTGSA-O+NTYJJOPFIAHURM-UHFFFAOYSA-N	
S-Adenosyl-L-methionine:methylethanolamine phosphate N-methyltransferase Glycerophospholipid metabolism EC:2.1.1.103	2.1.1.103	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+ZJUKTBDSGOFHSH-WFMPWKQPSA-N+BLHVJAAEHMLMOI-UHFFFAOYSA-N	MEFKEPWMEQBLKI-AIRLBKTGSA-O+HZDCAHRLLXEQFY-UHFFFAOYSA-N	
S-Adenosyl-L-methionine:phosphodimethylethanolamine N-methyltransferase Glycerophospholipid metabolism EC:2.1.1.103	2.1.1.103	False	False	ZJUKTBDSGOFHSH-WFMPWKQPSA-N+YHHSONZFOIEMCP-UHFFFAOYSA-M	MEFKEPWMEQBLKI-AIRLBKTGSA-O+BLHVJAAEHMLMOI-UHFFFAOYSA-N	
S-Aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming) One carbon pool by folate EC:2.1.2.10	2.1.2.10	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+VVIAGPKUTFNRDU-STQMWFEESA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MEANFMOQMXYMCT-OLZOCXBDSA-M	
S-Formylglutathione hydralase	3.1.2.12	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BDAGIHXWWSANSR-UHFFFAOYSA-N+RWSXRVCMGQZWBV-WDSKDSINSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+FHXAGOICBFGEBF-BQBZGAKWSA-N	
ST3 beta-galactoside alpha-2,3-sialyltransferase 3	2.4.99.6	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+IERHLVCPSMICTF-XVFCMESISA-N	TXCIAUNLDRJGJZ-BILDWYJOSA-N	
Sarcosine dehydrogenase (m)	1.5.99.2	False	False	YPZRHBJKEMOYQH-UYBVJOGSSA-N+DHMQDGOQFOQNFH-UHFFFAOYSA-N+QYNUQALWYRSVHF-PZORYLMUSA-N	VWWQXMAJTJZDQX-UYBVJOGSSA-N+FSYKKLYZXJSNPZ-UHFFFAOYSA-N+MSTNYGQPCMXVAQ-RYUDHWBXSA-N	
Se-Adenosylselenohomocysteine hydrolase	3.3.1.1	False	False	OIRDTQYFTABQOQ-KQYNXXCUSA-N+XDSSPSLGNGIIHP-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+UVSMMLABJBJNGH-WWJIDFMMSA-N	
Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase Carbon fixation EC:4.1.2.13	4.1.2.13	True	True	GNGACRATGGDKBX-UHFFFAOYSA-N+NGHMDNPXVRFFGS-IUYQGCFVSA-N	OKHXOUGRECCASI-SHUUEZRQSA-N	
Selenophosphate synthase	2.7.9.3	False	False	NBIIXXVUZAFLBC-UHFFFAOYSA-N+UDMBCSSLTHHNCD-KQYNXXCUSA-N+JRPHGDYSKGJTKZ-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+ZKHQWZAMYRWXGA-KQYNXXCUSA-N+SPVXKVOXSXTJOY-UHFFFAOYSA-N	
Spermidine:(acceptor) oxidoreductase	1.5.99.6	True	True	XFNJVJPLKCPIBV-UHFFFAOYSA-N+MHAJPDPJQMAIIY-UHFFFAOYSA-N+DZQLQEYLEYWJIB-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MYMOFIZGZYHOMD-UHFFFAOYSA-N+ATHGHQPFGPMSJY-UHFFFAOYSA-N	
Sphinganine-1-phosphate pamlmitaldehyde-lyase Sphingolipid metabolism EC:4.1.2.27	4.1.2.27	True	True	YHEDRJPUIRMZMP-ZWKOTPCHSA-N	SUHOOTKUPISOBE-UHFFFAOYSA-N+NIOYUNMRJMEDGI-UHFFFAOYSA-N	
Sphingomyelin synthase (homo sapiens)		False	False	58216	52639	
Sphingosine-1-phosphate lyase	4.1.2.27	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+SUHOOTKUPISOBE-UHFFFAOYSA-N+IPCSVZSSVZVIGE-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+DUYSYHSSBDVJSM-ZWKOTPCHSA-N	
Sphingosine-1-phosphate lyase 1	4.1.2.27	True	True	SUHOOTKUPISOBE-UHFFFAOYSA-N+NIOYUNMRJMEDGI-UHFFFAOYSA-N	YHEDRJPUIRMZMP-ZWKOTPCHSA-N	
Spontaneous reaction	1.5.1.20	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+QAOWNCQODCNURD-UHFFFAOYSA-N+RWSOTUBLDIXVET-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+DHCDFWKWKRSZHF-UHFFFAOYSA-N	
Squalene epoxidase, endoplasmic reticular (NADP)	1.14.99.7	False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+QYIMSPSDBYKPPY-LJAQVGFWSA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+YYGNTYWPHWGJRM-UHFFFAOYSA-N	
Squalene synthase	2.5.1.21	False	False	XJLXINKUBYWONI-NNYOXOHSSA-K+XPPKVPWEQAFLFU-UHFFFAOYSA-N+YYGNTYWPHWGJRM-UHFFFAOYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+VWFJDQUYCIWHTN-UHFFFAOYSA-N	
Steroid 11-beta-hydroxylase	1.14.15.4	False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+PQSUYGKTWSAVDQ-ZVIOFETBSA-N	ZESRJSPZRDMNHY-YFWFAHHUSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+MYMOFIZGZYHOMD-UHFFFAOYSA-N	
Steroid 21-hydroxylase	1.14.99.10	False	False	WHBHBVVOGNECLV-OBQKJFGGSA-N+XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K	MYMOFIZGZYHOMD-UHFFFAOYSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+DBPWSSGDRRHUNT-CEGNMAFCSA-N	
Steryl-sulfatase	3.1.6.2	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+DNXHEGUUPJUMQT-CBZIJGRNSA-N+QAOWNCQODCNURD-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+JKKFKPJIXZFSSB-CBZIJGRNSA-N	
Succinate--CoA ligase (ADP-forming)	6.2.1.5	True	True	XTWYTFMLZFPYCI-KQYNXXCUSA-N+NBIIXXVUZAFLBC-UHFFFAOYSA-N+VNOYUJKHFWYWIR-FZEDXVDRSA-N	RGJOEKWQDUBAIZ-IBOSZNHHSA-N+ZKHQWZAMYRWXGA-KQYNXXCUSA-N+KDYFGRWQOYBRFD-UHFFFAOYSA-N	
Succinate--CoA ligase (GDP-forming)	6.2.1.4	True	True	NBIIXXVUZAFLBC-UHFFFAOYSA-N+QGWNDRXFNXRZMB-UUOKFMHZSA-N+VNOYUJKHFWYWIR-FZEDXVDRSA-N	RGJOEKWQDUBAIZ-IBOSZNHHSA-N+XKMLYUALXHKNFT-UUOKFMHZSA-N+KDYFGRWQOYBRFD-UHFFFAOYSA-N	
Succinate-semialdehyde:NAD+ oxidoreductase Glutamate metabolism / Tyrosine metabolism / Butanoate metabolism EC:1.2.1.24 EC:1.2.1.16	1.2.1.24	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+KDYFGRWQOYBRFD-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+UIUJIQZEACWQSV-UHFFFAOYSA-N	
Succinate-semialdehyde:NADP+ oxidoreductase Glutamate metabolism / Tyrosine metabolism / Butanoate metabolism EC:1.2.1.16	1.2.1.16	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+KDYFGRWQOYBRFD-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+UIUJIQZEACWQSV-UHFFFAOYSA-N	
Succinate:ubiquinone oxidoreductase Citrate cycle (TCA cycle) EC:1.3.5.1	1.3.5.1	False	False	QNTNKSLOFHEFPK-UHFFFAOYSA-N+VZCYOOQTPOCHFL-OWOJBTEDSA-N	ACTIUHUUMQJHFO-UHFFFAOYSA-N+KDYFGRWQOYBRFD-UHFFFAOYSA-N	
Succinyl-CoA:glycine C-succinyl-transferase(decarboxylating) EC:2.3.1.37	2.3.1.37	False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+ZGXJTSGNIOSYLO-UHFFFAOYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+HXWZRYKURKEOSO-UHFFFAOYSA-N	
Sulfite:oxygen oxidoreductase Sulfur metabolism EC:1.8.3.1	1.8.3.1	False	False	MHAJPDPJQMAIIY-UHFFFAOYSA-N+QAOWNCQODCNURD-UHFFFAOYSA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+XLYOFNOQVPJJNP-UHFFFAOYSA-N+LSNNMFCWUKXFEE-UHFFFAOYSA-N	
T9 Protein assembly		False	False	XTWYTFMLZFPYCI-KQYNXXCUSA-N+NBIIXXVUZAFLBC-UHFFFAOYSA-N+UDMBCSSLTHHNCD-KQYNXXCUSA-N+XPPKVPWEQAFLFU-UHFFFAOYSA-N+C05780	XLYOFNOQVPJJNP-UHFFFAOYSA-N+ZKHQWZAMYRWXGA-KQYNXXCUSA-N+WHUUTDBJXJRKMK-VKHMYHEASA-N+CKLJMWTZIZZHCS-REOHCLBHSA-N+DCXYFEDJOCDNAF-REOHCLBHSA-N+QNAYBMKLOCPYGJ-REOHCLBHSA-N+XUJNEKJLAYXESH-REOHCLBHSA-N+ZDXPYRJPNDTMRX-VKHMYHEASA-N+DHMQDGOQFOQNFH-UHFFFAOYSA-N+MTCFGRXMJLQNBG-REOHCLBHSA-N+AYFVYJQAPQTCCC-GBXIJSLDSA-N+KDXKERNSBIXSRK-YFKPBYRVSA-N+ODKSFYDXXFIFQN-BYPYZUCNSA-N+FFEARJCKVFRZRR-BYPYZUCNSA-N+HNDVDQJCIGZPNO-YFKPBYRVSA-N+OUYCCCASQSFEME-QMMMGPOBSA-N+AGPKZVBTJJNPAG-WHFBIAKZSA-N+ROHFNLRQFUQHCH-YFKPBYRVSA-N+QIVBCDIJIAJPQS-VIFPVBQESA-N+COLNVLDHVKWLRT-QMMMGPOBSA-N+ONIBWKKTOPOVIA-BYPYZUCNSA-N+KZSNJWFQEVHDMF-BYPYZUCNSA-N	
Tachysterol 3 formation		False	False	YUGCAAVRZWBXEQ-RWDMXNMGSA-N	YUGCAAVRZWBXEQ-CJJWQTMXSA-N	
Tetradecanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing) Fatty acid biosynthesis EC:2.3.1.85	2.3.1.85	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+C05760	XJLXINKUBYWONI-NNYOXOHSSA-K+50651	
Tetradecanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) Fatty acid biosynthesis EC:2.3.1.85	2.3.1.85	False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+18359+C05762	GPRLSGONYQIRFK-FTGQXOHASA-N+50651+58107	
Tetrahydrobiopterin-4a-carbinolamine dehydratase	4.2.1.96	False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+ZHQJVZLJDXWFFX-UHFFFAOYSA-N	KJKIEFUPAPPGBC-UHFFFAOYSA-N	
Tetrahydrobiopterin:NADP+ oxidoreductase Folate biosynthesis EC:1.1.1.153	1.1.1.153	False	False	XJLXINKUBYWONI-NNYOXOHSSA-K+FNKQXYHWGSIFBK-UHFFFAOYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+HKCYZTKHPLJZDR-UHFFFAOYSA-N	
Thiamin pyrophosphokinase (EC 2.7.6.2)		False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+UDMBCSSLTHHNCD-KQYNXXCUSA-N+AYEKOFBPNLCAJY-UHFFFAOYSA-N	ZKHQWZAMYRWXGA-KQYNXXCUSA-N+JZRWCGZRTZMZEH-UHFFFAOYSA-N	
Thioredoxin (ubiquinone 10) reductase (NADH)	1.8.1.9	False	False	BAWFJGJZGIEFAR-NNYOXOHSSA-M+QNTNKSLOFHEFPK-UHFFFAOYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+ACTIUHUUMQJHFO-UHFFFAOYSA-N	
Thioredoxin (ubiquinone 10) reductase (NADPH)	1.8.1.9	False	False	XJLXINKUBYWONI-NNYOXOHSSA-K+QNTNKSLOFHEFPK-UHFFFAOYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+ACTIUHUUMQJHFO-UHFFFAOYSA-N	
Thromboxane-A synthase	5.3.99.5	True	True	DSNBHJFQCNUKMA-ILRSOXBSSA-N	YIBNHAJFJUQSRA-BRIYLRKRSA-N	
Triiodothyronine Sulfotransferase	2.8.2.1	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+WHTCPDAXWFLDIH-KQYNXXCUSA-N+XBQYQXVJBNDCGY-LBPRGKRZSA-N	GACDQMDRPRGCTN-KQYNXXCUSA-N+AUYYCJSJGJYCDS-LBPRGKRZSA-N	
Tryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)	1.4.3.4	False	False	MHAJPDPJQMAIIY-UHFFFAOYSA-N+QGZKDVFQNNGYKY-UHFFFAOYSA-N+WHOOUMGHGSPMGR-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MYMOFIZGZYHOMD-UHFFFAOYSA-N+APJYDQYYACXCRM-UHFFFAOYSA-N	
Type 2 lactosamine alpha-2,3-sialyltransferase		False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+IERHLVCPSMICTF-XVFCMESISA-N	62266+TXCIAUNLDRJGJZ-BILDWYJOSA-N	
Tyramine Sulfotransferase	2.8.2.1	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+WHTCPDAXWFLDIH-KQYNXXCUSA-N+DYDUXGMDSXJQFT-UHFFFAOYSA-N	GACDQMDRPRGCTN-KQYNXXCUSA-N+DZGWFCGJZKJUFP-UHFFFAOYSA-N	
Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing) (cytosol)	1.4.3.6	False	False	MHAJPDPJQMAIIY-UHFFFAOYSA-N+QGZKDVFQNNGYKY-UHFFFAOYSA-N+IPRPPFIAVHPVJH-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MYMOFIZGZYHOMD-UHFFFAOYSA-N+DZGWFCGJZKJUFP-UHFFFAOYSA-N	
Tyrosinase		True	True		YFTGOBNOJKXZJC-UHFFFAOYSA-N	
Tyrosine:dopa oxidase	1.14.18.1	True	False	WTDRDQBEARUVNC-LURJTMIESA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+OUYCCCASQSFEME-QMMMGPOBSA-N	
Tyrosine:dopa oxidase (dopaquinone producing 2)	1.14.18.1	True	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+AHMIDUVKSGCHAU-LURJTMIESA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+WTDRDQBEARUVNC-LURJTMIESA-N	
UDP-D-galactose:D-xylose galactosyltransferase, Golgi apparatus	2.4.1.133	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N+C01287	HSCJRCZFDFQWRP-LNYDKVEPSA-N+C03424	
UDP-D-galactose:galactosylxylose galactosyltransferase, Golgi apparatus	2.4.1.134	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N+C04825	HSCJRCZFDFQWRP-LNYDKVEPSA-N+C01287	
UDP-D-glucuronate decarboxylase, Golgi apparatus	4.1.1.35	False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+DQQDLYVHOTZLOR-OCIMBMBZSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+HDYANYHVCAPMJV-LXQIFKJMSA-N	
UDP-D-glucuronate:galactosylgalactosylxylose glucuronosyltransferase, Golgi apparatus	2.4.1.135	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N	C04825+HDYANYHVCAPMJV-LXQIFKJMSA-N	
UDP-GlcNAc:N-acetyl-D-glucosaminyl diphosphodolichol N-acetyl-D-glucosaminyltransferase (liver)	2.4.1.141	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N+12427	LFTYTUAZOPRMMI-CFRASDGPSA-N+18278	
UDP-GlcNAc:N-acetyl-D-glucosaminyl diphosphodolichol N-acetyl-D-glucosaminyltransferase (uterus)	2.4.1.141	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N+12427	LFTYTUAZOPRMMI-CFRASDGPSA-N+18278	
UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1		False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N	LFTYTUAZOPRMMI-CFRASDGPSA-N+62266	
UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus		False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N	HSCJRCZFDFQWRP-LNYDKVEPSA-N+18368	
UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5		False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N+17103	LFTYTUAZOPRMMI-CFRASDGPSA-N	
UDP-GlcNAc:dolichol-phosphate GlcNAc phosphotransferase (liver)	2.7.8.15	False	False	18278+DJJCXFVJDGTHFX-XVFCMESISA-N	57683+LFTYTUAZOPRMMI-CFRASDGPSA-N	
UDP-GlcNAc:dolichol-phosphate GlcNAc phosphotransferase (uterus)	2.7.8.15	False	False	DJJCXFVJDGTHFX-XVFCMESISA-N+18278	57683+LFTYTUAZOPRMMI-CFRASDGPSA-N	
UDP-N-acetyl-D-glucosamine 2-epimerase (Hydrolysis)	5.1.3.14	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N+MBLBDJOUHNCFQT-XAMCCFCMSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+LFTYTUAZOPRMMI-CFRASDGPSA-N	
UDP-N-acetyl-D-glucosamine 2-epimerase Aminosugars metabolism EC:5.1.3.14	5.1.3.14	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N+MBLBDJOUHNCFQT-XAMCCFCMSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+LFTYTUAZOPRMMI-CFRASDGPSA-N	
UDP-N-acetylgalactosamine diphosphorylase		False	False	XPPKVPWEQAFLFU-UHFFFAOYSA-N+LFTYTUAZOPRMMI-LDDHHVEYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+FZLJPEPAYPUMMR-KEWYIRBNSA-N+PGAVKCOVUIYSFO-XVFCMESISA-N	
UDP-N-acetylglucosamine 4-epimerase	5.1.3.7	True	True	LFTYTUAZOPRMMI-LDDHHVEYSA-N	LFTYTUAZOPRMMI-CFRASDGPSA-N	
UDP-N-acetylglucosamine diphosphorylase	2.7.7.23	False	False	XPPKVPWEQAFLFU-UHFFFAOYSA-N+LFTYTUAZOPRMMI-CFRASDGPSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+FZLJPEPAYPUMMR-RTRLPJTCSA-N+PGAVKCOVUIYSFO-XVFCMESISA-N	
UDP-glucuronosyltransferase 1-10 precursor, microsomal	2.4.1.17	False	False	CLQMBSSRTBUNDV-CPKOJWPQSA-N+XCCTYIAWTASOJW-XVFCMESISA-N	NVKAWKQGWWIWPM-ABEVXSGRSA-N+HDYANYHVCAPMJV-LXQIFKJMSA-N	
UDP-glucuronosyltransferase 1-10 precursor, microsomal (13-cis)	2.4.1.17	False	False	XCCTYIAWTASOJW-XVFCMESISA-N+MTGFYEHKPMOVNE-LYVDORBWSA-N	SHGAZHPCJJPHSC-UHFFFAOYSA-N+HDYANYHVCAPMJV-LXQIFKJMSA-N	
UDP-xylose:protein xylosyltransferase, endoplasmic reticulum	2.4.2.26	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N+C03424	DQQDLYVHOTZLOR-OCIMBMBZSA-N	
UDPGal-chondroitin acetylgalactosaminyltransferase I, Golgi	2.4.1.174	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N+C04893	LFTYTUAZOPRMMI-LDDHHVEYSA-N	
UDPgalactose:D-glucose 4-beta-D-galactosyltransferase, Golgi apparatus	2.4.1.22	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N+GUBGYTABKSRVRQ-QKKXKWKRSA-N	HSCJRCZFDFQWRP-LNYDKVEPSA-N+WQZGKKKJIJFFOK-GASJEMHNSA-N	
UDPglucose 4-epimerase	5.1.3.2	True	True	HSCJRCZFDFQWRP-LNYDKVEPSA-N	HSCJRCZFDFQWRP-RDKQLNKOSA-N	
UDPglucose 6-dehydrogenase	1.1.1.22	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+HDYANYHVCAPMJV-LXQIFKJMSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+HSCJRCZFDFQWRP-RDKQLNKOSA-N	
UDPglucose pyrophosphohydrolase	3.6.1.9	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+HXXFSFRBOHSIMQ-VFUOTHLCSA-N+DJJCXFVJDGTHFX-XVFCMESISA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+HSCJRCZFDFQWRP-RDKQLNKOSA-N	
UDPglucose pyrophosphohydrolase Pyrimidine metabolism / Starch and sucrose metabolism EC:3.6.1.45	3.6.1.45	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+DJJCXFVJDGTHFX-XVFCMESISA-N+HXXFSFRBOHSIMQ-VFUOTHLCSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+HSCJRCZFDFQWRP-RDKQLNKOSA-N	
UDPglucose--hexose-1-phosphate uridylyltransferase	2.7.7.12	True	True	HSCJRCZFDFQWRP-LNYDKVEPSA-N+HXXFSFRBOHSIMQ-VFUOTHLCSA-N	HXXFSFRBOHSIMQ-FPRJBGLDSA-N+HSCJRCZFDFQWRP-RDKQLNKOSA-N	
UDPglucose:alpha-D-galactose-1-phosphate uridylyltransferase Galactose metabolism / Nucleotide sugars metabolism EC:2.7.7.12	2.7.7.12	True	True	HSCJRCZFDFQWRP-LNYDKVEPSA-N+HXXFSFRBOHSIMQ-VFUOTHLCSA-N	HSCJRCZFDFQWRP-RDKQLNKOSA-N+HXXFSFRBOHSIMQ-SVZMEOIVSA-N	
